          50 ,          50
 -0.52653061E+001  0.94050715E+000  0.51548661E-031
 -0.52653061E+001  0.99199447E+000  0.64719026E-031
 -0.52653061E+001  0.10434818E+001  0.80644273E-031
 -0.52653061E+001  0.10949691E+001  0.99872268E-031
 -0.52653061E+001  0.11464564E+001  0.12305822E-030
 -0.52653061E+001  0.11979438E+001  0.15098562E-030
 -0.52653061E+001  0.12494311E+001  0.18459123E-030
 -0.52653061E+001  0.13009184E+001  0.22499501E-030
 -0.52653061E+001  0.13524057E+001  0.27353577E-030
 -0.52653061E+001  0.14038930E+001  0.33181387E-030
 -0.52653061E+001  0.14553804E+001  0.40174213E-030
 -0.52653061E+001  0.15068677E+001  0.48560675E-030
 -0.52653061E+001  0.15583550E+001  0.58614003E-030
 -0.52653061E+001  0.16098423E+001  0.70660724E-030
 -0.52653061E+001  0.16613296E+001  0.85091044E-030
 -0.52653061E+001  0.17128170E+001  0.10237125E-029
 -0.52653061E+001  0.17643043E+001  0.12305853E-029
 -0.52653061E+001  0.18157916E+001  0.14781866E-029
 -0.52653061E+001  0.18672789E+001  0.17744716E-029
 -0.52653061E+001  0.19187663E+001  0.21289454E-029
 -0.52653061E+001  0.19702536E+001  0.25529651E-029
 -0.52653061E+001  0.20217409E+001  0.30600999E-029
 -0.52653061E+001  0.20732282E+001  0.36665620E-029
 -0.52653061E+001  0.21247155E+001  0.43917211E-029
 -0.52653061E+001  0.21762029E+001  0.52587191E-029
 -0.52653061E+001  0.22276902E+001  0.62952042E-029
 -0.52653061E+001  0.22791775E+001  0.75342083E-029
 -0.52653061E+001  0.23306648E+001  0.90151950E-029
 -0.52653061E+001  0.23821521E+001  0.10785311E-028
 -0.52653061E+001  0.24336395E+001  0.12900882E-028
 -0.52653061E+001  0.24851268E+001  0.15429201E-028
 -0.52653061E+001  0.25366141E+001  0.18450658E-028
 -0.52653061E+001  0.25881014E+001  0.22061296E-028
 -0.52653061E+001  0.26395888E+001  0.26375851E-028
 -0.52653061E+001  0.26910761E+001  0.31531397E-028
 -0.52653061E+001  0.27425634E+001  0.37691687E-028
 -0.52653061E+001  0.27940507E+001  0.45052351E-028
 -0.52653061E+001  0.28455380E+001  0.53847098E-028
 -0.52653061E+001  0.28970254E+001  0.64355126E-028
 -0.52653061E+001  0.29485127E+001  0.76909979E-028
 -0.52653061E+001  0.30000000E+001  0.91910121E-028
 
 -0.48979592E+001  0.47712125E+000  0.13629345E-032
 -0.48979592E+001  0.52860858E+000  0.34686749E-032
 -0.48979592E+001  0.58009590E+000  0.60966379E-032
 -0.48979592E+001  0.63158322E+000  0.93553243E-032
 -0.48979592E+001  0.68307054E+000  0.13374771E-031
 -0.48979592E+001  0.73455786E+000  0.18310766E-031
 -0.48979592E+001  0.78604518E+000  0.24349893E-031
 -0.48979592E+001  0.83753250E+000  0.31715547E-031
 -0.48979592E+001  0.88901983E+000  0.40675132E-031
 -0.48979592E+001  0.94050715E+000  0.51548661E-031
 -0.48979592E+001  0.99199447E+000  0.64719026E-031
 -0.48979592E+001  0.10434818E+001  0.80644272E-031
 -0.48979592E+001  0.10949691E+001  0.99872268E-031
 -0.48979592E+001  0.11464564E+001  0.12305822E-030
 -0.48979592E+001  0.11979438E+001  0.15098562E-030
 -0.48979592E+001  0.12494311E+001  0.18459123E-030
 -0.48979592E+001  0.13009184E+001  0.22499501E-030
 -0.48979592E+001  0.13524057E+001  0.27353577E-030
 -0.48979592E+001  0.14038930E+001  0.33181387E-030
