# KROME file, 17Jul2014, XRAY H Heating
# Xray heating for primary and secondary H ionization in eV/cm3/s
# first line indicates the size of the table (30x30)
# then first column is the parameter log10(nH), where nH is the H column density in cm-2
# second column is log10(xHe), where xHe = nHe/nH both in cm-2
# third column is log10(heating), where heating is in units of eV/cm3/s
           30,          30
   0.16000000E+02   0.00000000E+00  -0.15421936E+02
   0.16000000E+02  -0.17241380E+00  -0.15421936E+02
   0.16000000E+02  -0.34482759E+00  -0.15421936E+02
   0.16000000E+02  -0.51724136E+00  -0.15421936E+02
   0.16000000E+02  -0.68965518E+00  -0.15421936E+02
   0.16000000E+02  -0.86206895E+00  -0.15421936E+02
   0.16000000E+02  -0.10344827E+01  -0.15421936E+02
   0.16000000E+02  -0.12068965E+01  -0.15421936E+02
   0.16000000E+02  -0.13793104E+01  -0.15421936E+02
   0.16000000E+02  -0.15517242E+01  -0.15421936E+02
   0.16000000E+02  -0.17241379E+01  -0.15421936E+02
   0.16000000E+02  -0.18965517E+01  -0.15421936E+02
   0.16000000E+02  -0.20689654E+01  -0.15421936E+02
   0.16000000E+02  -0.22413793E+01  -0.15421936E+02
   0.16000000E+02  -0.24137931E+01  -0.15421936E+02
   0.16000000E+02  -0.25862069E+01  -0.15421936E+02
   0.16000000E+02  -0.27586207E+01  -0.15421936E+02
   0.16000000E+02  -0.29310346E+01  -0.15421936E+02
   0.16000000E+02  -0.31034484E+01  -0.15421936E+02
   0.16000000E+02  -0.32758620E+01  -0.15421936E+02
   0.16000000E+02  -0.34482758E+01  -0.15421936E+02
   0.16000000E+02  -0.36206896E+01  -0.15421936E+02
   0.16000000E+02  -0.37931035E+01  -0.15421936E+02
   0.16000000E+02  -0.39655173E+01  -0.15421936E+02
   0.16000000E+02  -0.41379309E+01  -0.15421936E+02
   0.16000000E+02  -0.43103447E+01  -0.15421936E+02
   0.16000000E+02  -0.44827585E+01  -0.15421936E+02
   0.16000000E+02  -0.46551723E+01  -0.15421936E+02
   0.16000000E+02  -0.48275862E+01  -0.15421936E+02
   0.16000000E+02  -0.50000000E+01  -0.15421936E+02
 
   0.16344828E+02   0.00000000E+00  -0.15421936E+02
   0.16344828E+02  -0.17241380E+00  -0.15421936E+02
   0.16344828E+02  -0.34482759E+00  -0.15421936E+02
   0.16344828E+02  -0.51724136E+00  -0.15421936E+02
   0.16344828E+02  -0.68965518E+00  -0.15421936E+02
   0.16344828E+02  -0.86206895E+00  -0.15421936E+02
   0.16344828E+02  -0.10344827E+01  -0.15421936E+02
   0.16344828E+02  -0.12068965E+01  -0.15421936E+02
   0.16344828E+02  -0.13793104E+01  -0.15421936E+02
   0.16344828E+02  -0.15517242E+01  -0.15421936E+02
   0.16344828E+02  -0.17241379E+01  -0.15421936E+02
   0.16344828E+02  -0.18965517E+01  -0.15421936E+02
   0.16344828E+02  -0.20689654E+01  -0.15421936E+02
   0.16344828E+02  -0.22413793E+01  -0.15421936E+02
